id,title,price,available_quantity,sold_quantity,listing_type_id,thumbnail_id,tags,use_thumbnail_id,order_backend,seller__id,seller__tags,seller__seller_reputation__level_id,seller__seller_reputation__metrics__cancellations__period,seller__seller_reputation__metrics__cancellations__rate,seller__seller_reputation__metrics__cancellations__value,seller__seller_reputation__metrics__claims__period,seller__seller_reputation__metrics__claims__rate,seller__seller_reputation__metrics__claims__value,seller__seller_reputation__metrics__delayed_handling_time__period,seller__seller_reputation__metrics__delayed_handling_time__rate,seller__seller_reputation__metrics__delayed_handling_time__value,seller__seller_reputation__metrics__sales__period,seller__seller_reputation__metrics__sales__completed,seller__seller_reputation__transactions__canceled,seller__seller_reputation__transactions__total,seller__seller_reputation__transactions__ratings__negative,seller__seller_reputation__transactions__ratings__neutral,seller__seller_reputation__transactions__ratings__positive,seller__seller_reputation__transactions__completed,prices__id,prices__prices,prices__reference_prices,installments__quantity,installments__amount,installments__rate,shipping__free_shipping,shipping__tags,shipping__logistic_type,days_remaining,years_active
MLA1121320193,Apple iPhone 11 128gb-incluye Cargador Usb-c-cuotas Sin Int.,292990.0,1,0,gold_pro,865864-MLA46114990464_052021,"['good_quality_picture', 'good_quality_thumbnail', 'standard_price_by_channel', 'immediate_payment']",False,17,825482913,"['normal', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,60 days,0.0069,3,60 days,0.0115,5,60 days,0.0024,1,60 days,394,56,539,0.0,0.0,1.0,483,MLA1121320193,"[{'id': '1', 'type': 'standard', 'amount': 292990, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-01-30T20:07:31Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '2', 'type': 'standard', 'amount': 272990, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-01-30T20:07:31Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",[],9,32554.44,0.0,True,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,7296,0
MLA1101939983,Apple iPhone 11 64gb Black 4gb Ram Garantia Oficial Local,238000.0,1,0,gold_special,656548-MLA46114829749_052021,"['good_quality_thumbnail', 'loyalty_discount_eligible', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,18,237714148,"['normal', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller']",5_green,60 days,0.0158,13,60 days,0.011,9,60 days,0.0344,26,60 days,755,887,11541,0.04,0.01,0.95,10654,MLA1101939983,"[{'id': '34', 'type': 'standard', 'amount': 238000, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-01-05T22:58:10Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]","[{'id': '41', 'type': 'min_standard', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 179990, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2022-01-30T04:47:58Z'}, {'id': '42', 'type': 'was', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-30T04:47:58Z', 'end_time': '2022-02-06T04:47:58Z', 'eligible': True}, 'amount': 198000, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2022-01-30T04:47:58Z'}]",12,33750.38,70.17,True,"['self_service_in', 'mandatory_free_shipping']",cross_docking,7150,5
MLA1104151860,Apple iPhone 11 (128 Gb) - Negro,233750.0,1,0,gold_special,865864-MLA46114990464_052021,"['good_quality_thumbnail', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",False,19,326644038,"['normal', 'eshop', 'credits_profile', 'mshops', 'messages_as_seller']",5_green,60 days,0.012,4,60 days,0.009,3,60 days,0.0563,15,60 days,317,104,1353,0.02,0.01,0.97,1249,MLA1104151860,"[{'id': '12', 'type': 'standard', 'amount': 233750, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-01-29T16:26:51Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",[],12,33147.7,70.17,True,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,7206,3
MLA1116428550,iPhone 13 Pro 512 Gb ,538224.0,1,0,gold_pro,692603-MLA48596063170_122021,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'shipping_guaranteed']",False,20,169311474,"['brand', 'large_seller', 'credits_profile', 'messages_as_seller']",5_green,60 days,0.0088,4,60 days,0.0088,4,60 days,0.0622,26,60 days,417,169,2559,0.02,0.01,0.97,2390,MLA1116428550,"[{'id': '3', 'type': 'standard', 'amount': 538224, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-01-27T13:12:46Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]","[{'id': '4', 'type': 'was', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-30T04:33:23Z', 'end_time': '2022-02-06T04:33:23Z', 'eligible': True}, 'amount': 531986, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2022-01-30T04:33:23Z'}]",9,59802.67,0.0,True,"['self_service_in', 'mandatory_free_shipping']",cross_docking,7251,7
MLA1117501470,Apple iPhone 11 Pro Max Cpo 256gb Fwh42lla _ap,314803.0,1,0,gold_special,639283-MLA32646972173_102019,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",False,21,278897053,"['normal', 'credits_profile', 'messages_as_seller']",5_green,60 days,0.0,0,60 days,0.0,1,60 days,0.0653,16,60 days,266,77,1136,0.01,0.01,0.98,1059,MLA1117501470,"[{'id': '4', 'type': 'standard', 'amount': 314803, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-01-27T21:23:04Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]","[{'id': '5', 'type': 'was', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-01T04:37:39Z', 'end_time': '2022-02-08T04:37:39Z', 'eligible': True}, 'amount': 287429, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2022-02-01T04:37:39Z'}]",12,44641.69,70.17,True,['mandatory_free_shipping'],xd_drop_off,7263,4
MLA823006316,Apple iPhone 11 128gb Nuevos Sellados Garantia 2019,211881.0,1,1,gold_special,925398-MLA40667038972_022020,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,22,90262631,"['normal', 'credits_profile', 'eshop', 'mshops', 'messages_as_seller']",5_green,60 days,0.0,2,60 days,0.0,0,60 days,0.0217,3,60 days,142,108,1425,0.01,0.01,0.98,1317,MLA823006316,"[{'id': '27', 'type': 'standard', 'amount': 211881, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-02-02T03:27:46Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]",[],12,30046.49,70.17,True,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,6475,16
MLA1113872691, iPhone XS Max 64 Gb Gris Espacial,399999.0,1,0,gold_pro,807889-MLA31002342928_062019,"['good_quality_picture', 'loyalty_discount_eligible', 'immediate_payment']",True,23,629074754,"['normal', 'messages_as_seller']",5_green,365 days,0.0,0,365 days,0.0,1,365 days,0.0666,3,365 days,50,5,55,0.0,0.0,1.0,50,MLA1113872691,"[{'id': '2', 'type': 'standard', 'amount': 399999, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2021-11-29T19:02:22Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]","[{'id': '6', 'type': 'was', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2021-12-24T04:16:07Z', 'end_time': '2021-12-31T04:16:07Z', 'eligible': True}, 'amount': 199999, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2021-12-24T04:16:07Z'}]",9,44444.33,0.0,True,['mandatory_free_shipping'],xd_drop_off,7231,1
MLA1120231014,Apple iPhone 11 Pro Cpo 256gb Fwcp2lla _ap,286241.0,1,0,gold_special,865098-MLA32647708594_102019,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",False,24,278897053,"['normal', 'credits_profile', 'messages_as_seller']",5_green,60 days,0.0,0,60 days,0.0,1,60 days,0.0653,16,60 days,266,77,1136,0.01,0.01,0.98,1059,MLA1120231014,"[{'id': '2', 'type': 'standard', 'amount': 286241, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-01-27T21:22:21Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]","[{'id': '3', 'type': 'was', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-01-31T04:23:15Z', 'end_time': '2022-02-07T04:23:15Z', 'eligible': True}, 'amount': 273796, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2022-01-31T04:23:15Z'}]",12,40591.36,70.17,True,['mandatory_free_shipping'],xd_drop_off,7287,4
MLA878213055,Apple iPhone 11 64gb Black 4gb Ram Garantia Oficial Local,249000.0,1,5,gold_special,823171-MLA43441748121_092020,"['good_quality_thumbnail', 'loyalty_discount_eligible', 'standard_price_by_channel', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,25,15096445,"['normal', 'credits_profile', 'eshop', 'mshops', 'messages_as_seller']",5_green,60 days,0.0174,26,60 days,0.0133,20,60 days,0.0517,71,60 days,1376,1417,19727,0.01,0.01,0.98,18310,MLA878213055,"[{'id': '131', 'type': 'standard', 'amount': 249000, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-01-05T19:20:17Z', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}, {'id': '132', 'type': 'standard', 'amount': 239999, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-01-05T19:20:25Z', 'conditions': {'context_restrictions': ['channel_mshops'], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]","[{'id': '149', 'type': 'min_standard', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 198000, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2022-02-01T04:21:29Z'}, {'id': '150', 'type': 'was', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-01T04:21:29Z', 'end_time': '2022-02-08T04:21:29Z', 'eligible': True}, 'amount': 225000, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2022-02-01T04:21:29Z'}]",12,35310.28,70.17,True,"['self_service_out', 'mandatory_free_shipping']",cross_docking,6800,14
MLA1105604963,Apple iPhone 13 Pro Max 128gb - Varios Colores Caja Sellada,618000.0,1,0,gold_special,728233-MLA47677355520_092021,"['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible', 'shipping_guaranteed']",False,26,89910928,"['normal', 'eshop', 'mshops', 'credits_profile', 'messages_as_seller']",5_green,60 days,0.0,0,60 days,0.0,2,60 days,0.0254,12,60 days,434,335,3153,0.01,0.02,0.97,2818,MLA1105604963,"[{'id': '12', 'type': 'standard', 'amount': 618000, 'regular_amount': None, 'currency_id': 'ARS', 'last_updated': '2022-01-21T17:35:28Z', 'conditions': {'context_restrictions': [], 'start_time': None, 'end_time': None, 'eligible': True}, 'exchange_rate_context': 'DEFAULT', 'metadata': {}}]","[{'id': '15', 'type': 'min_standard', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': None, 'end_time': None, 'eligible': True}, 'amount': 565000, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2022-02-01T04:18:23Z'}, {'id': '16', 'type': 'was', 'conditions': {'context_restrictions': ['channel_marketplace'], 'start_time': '2022-02-01T04:18:23Z', 'end_time': '2022-02-08T04:18:23Z', 'eligible': True}, 'amount': 598000, 'currency_id': 'ARS', 'exchange_rate_context': 'DEFAULT', 'tags': [], 'last_updated': '2022-02-01T04:18:23Z'}]",12,87637.55,70.17,True,"['self_service_in', 'mandatory_free_shipping']",xd_drop_off,7172,16
