date,bitcoin_price_USD
2022-02-02 13:10:32,37260.5783
2022-02-02 13:11:32,37260.5783
2022-02-02 13:12:32,37270.62
2022-02-02 13:13:32,37246.4567
2022-02-02 13:14:32,37246.4567
2022-02-02 13:15:33,37195.7017
2022-02-02 13:25:04,37269.0633
2022-02-02 13:26:04,37285.6033
2022-02-02 13:27:04,37270.4383
2022-02-02 13:28:05,37287.7417
2022-02-02 13:29:05,37328.3083
2022-02-02 13:30:05,37287.965
2022-02-02 13:31:05,37254.52
2022-02-02 13:32:06,37204.44
2022-02-02 13:33:06,37237.5767
2022-02-02 13:34:06,37216.1367
2022-02-02 13:35:06,37211.8033
2022-02-02 13:36:07,37218.1167
2022-02-02 13:37:07,37207.2317
2022-02-02 13:38:07,37189.7283
2022-02-02 13:39:08,37217.54
2022-02-02 13:40:08,37149.5883
2022-02-02 13:41:08,37150.1417
2022-02-02 13:42:08,37188.6917
2022-02-02 13:45:24,37206.1433
2022-02-02 13:46:24,37226.5883
2022-02-02 13:47:24,37202.9633
2022-02-02 13:48:25,37287.3767
2022-02-02 13:49:25,37287.3767
2022-02-02 13:50:25,37294.5117
2022-02-02 13:51:26,37343.88
2022-02-02 13:52:26,37343.88
2022-02-02 13:53:26,37357.55
2022-02-02 13:54:27,37374.2983
2022-02-02 13:55:27,37374.2983
2022-02-02 13:56:27,37352.8683
2022-02-02 13:57:27,37332.195
2022-02-02 13:58:28,37332.195
2022-02-02 13:59:28,37337.8167
2022-02-02 14:00:28,37355.2767
2022-02-02 14:01:28,37355.2767
2022-02-02 14:02:29,37297.0367
2022-02-02 14:03:29,37315.215
2022-02-02 14:04:29,37315.215
2022-02-02 14:05:29,37375.3333
2022-02-02 14:06:30,37399.2183
2022-02-02 14:07:30,37399.2183
2022-02-02 14:08:30,37413.2167
2022-02-02 14:09:30,37484.4633
2022-02-02 14:10:31,37530.8883
2022-02-02 14:11:31,37530.8883
2022-02-02 14:12:31,37486.9433
2022-02-02 14:13:31,37491.6667
2022-02-02 14:14:32,37476.185
2022-02-02 14:15:32,37463.7367
2022-02-02 14:16:32,37463.7367
2022-02-02 14:17:32,37490.4017
2022-02-02 14:18:33,37476.02
2022-02-02 14:19:33,37430.7717
2022-02-02 14:20:33,37436.9383
2022-02-02 14:21:33,37439.9383
2022-02-02 14:22:34,37435.0333
2022-02-02 14:23:34,37444.6433
2022-02-02 14:24:34,37445.315
2022-02-02 14:25:35,37438.9667
2022-02-02 14:26:35,37446.11
2022-02-02 14:27:35,37453.1617
2022-02-02 14:28:35,37446.19
2022-02-02 14:29:36,37454.3383
2022-02-02 14:30:36,37419.035
2022-02-02 14:31:36,37379.7133
2022-02-02 14:32:37,37390.7233
2022-02-02 14:33:37,37377.1983
2022-02-02 14:34:37,37398.34
2022-02-02 14:35:38,37369.8783
2022-02-02 14:36:38,37370.5567
2022-02-02 14:37:38,37364.4967
2022-02-02 15:06:09,37483.44
2022-02-02 15:07:10,37451.6417
2022-02-02 15:08:10,37467.2217
2022-02-02 15:09:10,37494.3417
2022-02-02 15:10:10,37494.785
2022-02-02 15:11:10,37482.1917
2022-02-02 15:12:11,37457.915
2022-02-02 15:13:11,37464.775
2022-02-02 15:26:23,37455.9083
2022-02-02 15:27:24,37436.8367
2022-02-02 15:28:24,37420.06
2022-02-02 15:29:24,37420.06
2022-02-02 15:30:25,37457.0883
2022-02-02 15:31:25,37478.285
2022-02-02 15:32:25,37478.285
2022-02-02 15:33:26,37501.205
2022-02-02 15:34:26,37486.265
2022-02-02 15:35:26,37486.265
2022-02-02 15:36:27,37472.6217
2022-02-02 15:37:27,37474
2022-02-02 15:38:27,37474
2022-02-02 15:39:28,37465.4
2022-02-02 15:40:28,37484.1117
