,PLACE NAME,SUPERFICIE TOTAL EN M2,PRECIO USD POR M2,PRICE,CURRENCY,PRECIO USD,TIPO DE PROPIEDAD,CANTIDAD,ZONAS COMUNALES,ambientes_regex,parrilla_regex,cochera_regex,pileta_regex,sum_regex,solarium_regex,gym_regex,balcon_regex,jardin_regex,lavadero_regex,estrenar_regex,quincho_regex,patio_regex
1642,nuñez,63.0,3253.968253968254,205000.0,usd,205000.0,apartment,1.0,ZONA NORTE COMUNAL,3,0,1,0,1,0,0,1,0,1,0,0,0
1643,villalugano,154.0,1162.3376623376623,179000.0,usd,179000.0,ph,1.0,ZONA SUR COMUNAL,4,1,0,0,0,0,0,1,0,1,0,0,1
1644,chacarita,192.6,2336.448598130841,450000.0,usd,450000.0,house,1.0,ZONA NORTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,0
1645,barrionorte,102.47895791583166,2244.363181258189,230000.0,usd,230000.0,apartment,1.0,ZONA ESTE COMUNAL,3,0,0,0,0,0,0,0,0,0,0,0,0
1646,villaurquiza,54.0,2944.4444444444443,159000.0,usd,159000.0,apartment,1.0,ZONA NORTE COMUNAL,0,1,1,1,1,0,1,0,1,1,0,0,0
1647,nuñez,112.0,2651.785714285714,297000.0,usd,297000.0,apartment,1.0,ZONA NORTE COMUNAL,3,0,1,0,0,0,0,1,0,1,0,0,0
1648,caballito,86.0,1674.4186046511627,144000.0,usd,144000.0,apartment,1.0,ZONA CENTRO COMUNAL,2,0,1,0,0,0,0,1,0,0,1,0,1
1649,almagro,264.0,1314.3939393939395,347000.0,usd,347000.0,piso/penthouse,1.0,ZONA CENTRO COMUNAL,5,0,0,0,0,0,0,1,0,1,0,0,0
1650,barracas,119.0,1512.6050420168067,180000.0,usd,180000.0,ph,1.0,ZONA SUR COMUNAL,4,0,0,0,0,0,0,1,0,0,0,0,0
1651,villalugano,52.0,1278.0605769230767,1185000.0,ars,66459.15,ph,1.0,ZONA SUR COMUNAL,0,0,0,0,0,0,0,0,0,1,0,0,1
1652,villacrespo,86.0,1767.4418604651162,152000.0,usd,152000.0,apartment,1.0,ZONA NORTE COMUNAL,3,0,0,0,0,0,0,1,0,1,0,0,1
1653,palermo,373.5,1820.6157965194109,680000.0,usd,680000.0,house,1.0,ZONA NORTE COMUNAL,4,1,1,1,0,0,0,1,1,1,0,1,1
1654,palermo,190.0,2263.157894736842,430000.0,usd,430000.0,apartment,1.0,ZONA NORTE COMUNAL,0,1,1,0,0,0,0,0,0,1,0,0,0
1655,recoleta,244.0,1557.377049180328,380000.0,usd,380000.0,piso/penthouse,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,0,0,0,0,0,0
1656,puertomadero,54.0,4629.62962962963,250000.0,usd,250000.0,apartment,1.0,ZONA ESTE COMUNAL,0,0,1,1,0,0,1,0,1,0,0,0,0
1657,almagro,80.0,1625.0,130000.0,usd,130000.0,apartment,1.0,ZONA CENTRO COMUNAL,0,0,0,0,0,0,0,1,0,1,0,0,0
1658,retiro,54.0,2222.222222222222,120000.0,usd,120000.0,apartment,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,0,0,1,0,0,0
1659,santelmo,68.0,2132.3529411764707,145000.0,usd,145000.0,apartment,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,1,0,1,0,0,0
1660,recoleta,138.0,2391.304347826087,330000.0,usd,330000.0,apartment,1.0,ZONA ESTE COMUNAL,0,0,1,0,0,0,0,1,0,1,0,0,0
1661,floresta,72.0,2041.6666666666667,147000.0,usd,147000.0,apartment,1.0,ZONA OESTE COMUNAL,0,0,1,0,0,0,0,1,0,1,0,0,0
1662,monserrat,97.0,2061.855670103093,200000.0,usd,200000.0,apartment,1.0,ZONA ESTE COMUNAL,0,0,0,0,0,0,0,1,0,1,0,0,0
1663,flores,126.0,1825.3968253968253,230000.0,usd,230000.0,apartment,1.0,ZONA CENTRO COMUNAL,4,0,1,0,0,0,0,1,0,1,0,0,0
1664,coghlan,153.33333333333334,3195.6521739130435,490000.0,usd,490000.0,duplex/triplex,1.0,ZONA NORTE COMUNAL,0,1,1,1,0,1,0,1,1,1,0,1,0
1665,sancristobal,74.69117647058823,1459.3423902342981,109000.0,usd,109000.0,apartment,1.0,ZONA ESTE COMUNAL,0,1,0,0,0,0,0,0,0,1,0,0,1
1666,villadevoto,71.75,2508.710801393728,180000.0,usd,180000.0,apartment,1.0,ZONA OESTE COMUNAL,4,0,1,0,0,0,0,1,0,1,0,0,0
1667,villaurquiza,78.95338983050847,1646.541083024741,130000.0,usd,130000.0,apartment,1.0,ZONA NORTE COMUNAL,3,0,0,0,0,0,0,0,0,1,0,0,0
1668,palermo,72.0,2976.3888888888887,214300.0,usd,214300.0,apartment,1.0,ZONA NORTE COMUNAL,2,1,0,1,0,1,0,1,0,1,1,1,0
1669,recoleta,116.15328467153284,5079.494752717904,590000.0,usd,590000.0,apartment,1.0,ZONA ESTE COMUNAL,4,0,0,0,0,0,0,0,0,1,0,0,0
1670,constitución,65.70588235294117,1750.2238137869294,115000.0,usd,115000.0,apartment,1.0,ZONA ESTE COMUNAL,3,0,0,0,0,0,0,1,0,0,0,0,0
1671,villadevoto,71.75,4529.616724738676,325000.0,usd,325000.0,apartment,1.0,ZONA OESTE COMUNAL,0,0,0,1,1,1,0,1,0,1,0,0,1
