iter	Logloss
0	0.650054711
1	0.6133906017
2	0.5826386724
3	0.5566313248
4	0.5346785418
5	0.5163860204
6	0.5010917484
7	0.4872351826
8	0.4760549751
9	0.4661022172
10	0.4581797856
11	0.4507572867
12	0.4446992525
13	0.4391919515
14	0.4346323791
15	0.4307010425
16	0.4271744673
17	0.4244194941
18	0.421827546
19	0.419790689
20	0.4180505835
21	0.4162601246
22	0.4146799701
23	0.4134064816
24	0.4122112975
25	0.4111173412
26	0.4102785744
27	0.4095395522
28	0.4089112468
29	0.4082351966
30	0.4076459942
31	0.4072312802
32	0.4067160387
33	0.4062848132
34	0.4059289066
35	0.4055840335
36	0.4053175396
37	0.4050948703
38	0.4048740635
39	0.4046473671
40	0.4044682793
41	0.4043471458
42	0.4041818081
43	0.4040592998
44	0.4038864929
45	0.4037387901
46	0.4036352744
47	0.4035360365
48	0.4034024313
49	0.4033198917
50	0.4032194634
51	0.4031318818
52	0.4030494377
53	0.4029948793
54	0.4029176287
55	0.4028562006
56	0.4028049011
57	0.4027597196
58	0.402700514
59	0.4026543714
60	0.4026347467
61	0.4025942825
62	0.402538734
63	0.4025030115
64	0.4024667829
65	0.4024190059
66	0.4023838997
67	0.4023625793
68	0.4023266346
69	0.4022921491
70	0.4022700748
71	0.4022526624
72	0.4022323044
73	0.4022066001
74	0.40218539
75	0.4021503103
76	0.4021331887
77	0.4021052671
78	0.4020782092
79	0.4020579449
80	0.4020440546
81	0.4020287645
82	0.4020016335
83	0.4019952086
84	0.4019727396
85	0.4019533973
86	0.4019396562
87	0.4019225227
88	0.4019036474
89	0.4018867863
90	0.401870122
91	0.4018529072
92	0.4018417293
93	0.4018208689
94	0.4018053174
95	0.4017720279
96	0.4017593877
97	0.4017460533
98	0.4017320101
99	0.4017172762
100	0.4017002777
101	0.4016857383
102	0.4016667658
103	0.4016553845
104	0.4016392274
105	0.401621782
106	0.4016107764
107	0.4015999976
108	0.4015821018
109	0.4015651835
110	0.4015537988
111	0.4015388683
112	0.4015270698
113	0.4015147234
114	0.4014984735
115	0.4014811393
116	0.4014709849
117	0.4014585508
118	0.4014452072
119	0.4014357491
120	0.4014200993
121	0.4014071037
122	0.401396709
123	0.4013789215
124	0.4013666421
125	0.4013456376
126	0.401326495
127	0.4013229452
128	0.4013043979
129	0.4012957226
130	0.4012868192
131	0.4012780519
132	0.4012686451
133	0.4012622421
134	0.4012459357
135	0.40123175
136	0.4012210079
137	0.4012053354
138	0.4011969165
139	0.4011881567
140	0.4011800276
141	0.4011633233
142	0.4011554795
143	0.4011412538
144	0.4011322079
145	0.4011203996
146	0.4011098937
147	0.4010868233
148	0.4010796649
149	0.401070734
150	0.4010540664
151	0.4010414623
152	0.4010269406
153	0.4010232786
154	0.4010158083
155	0.4010013232
156	0.4009846929
157	0.4009669697
158	0.4009537564
159	0.4009356478
160	0.4009244802
161	0.4009209608
162	0.4009142039
163	0.4009055594
164	0.4008897161
165	0.4008824579
166	0.4008680771
167	0.4008511979
168	0.4008413437
169	0.4008350047
170	0.4008236697
171	0.4008048217
172	0.4007932508
173	0.400778816
174	0.4007610046
175	0.4007490554
176	0.4007345236
177	0.4007183001
178	0.4007111811
179	0.4006921791
180	0.4006776862
181	0.4006636382
182	0.4006626694
183	0.4006450053
184	0.4006305959
185	0.4006301421
186	0.4006121562
187	0.4005975734
188	0.4005826787
189	0.4005607233
190	0.4005413208
191	0.4005242045
192	0.4005104097
193	0.4004958274
194	0.4004733471
195	0.4004540656
196	0.4004399488
197	0.4004220534
198	0.4004092349
199	0.4004032057
200	0.4003805974
201	0.4003653535
202	0.4003558374
203	0.4003310382
204	0.4003206837
205	0.4002971153
206	0.4002726384
207	0.4002484959
208	0.4002238717
209	0.4002110587
210	0.4002011778
211	0.4001919113
212	0.4001684807
213	0.4001517275
214	0.4001373103
215	0.4001275981
216	0.400110707
217	0.400089469
218	0.4000759209
219	0.4000573344
220	0.4000317084
221	0.4000122978
222	0.4000011742
223	0.399995999
224	0.3999834167
225	0.399962303
226	0.3999373314
227	0.3999212304
228	0.3999046881
229	0.3998860841
230	0.3998665378
231	0.399842067
232	0.3998369565
233	0.3998143467
234	0.399792113
235	0.3997804527
236	0.3997642538
237	0.3997604911
238	0.399748996
239	0.3997203974
240	0.399706141
241	0.3996858227
242	0.3996735109
243	0.3996613721
244	0.3996555377
245	0.3996346379
246	0.399618546
247	0.399604055
248	0.3995917081
249	0.3995726127
250	0.3995585324
251	0.399539362
252	0.399531672
253	0.3995141467
254	0.3995133327
255	0.399501936
256	0.3994817511
257	0.399468156
258	0.3994582438
259	0.3994412925
260	0.3994252345
261	0.3994250272
262	0.3994092563
263	0.3993896388
264	0.3993719163
265	0.3993553824
266	0.399342962
267	0.3993268698
268	0.3993160168
269	0.3993084764
270	0.3992967189
271	0.3992826339
272	0.3992728364
273	0.3992555024
274	0.3992298951
275	0.3992096577
276	0.3991972499
277	0.39918851
278	0.3991879994
279	0.3991761688
280	0.3991599882
281	0.3991412792
282	0.3991258421
283	0.3991088699
284	0.3990917361
285	0.3990912513
286	0.3990734337
287	0.3990665899
288	0.3990503479
289	0.3990414003
290	0.3990306154
291	0.3990082837
292	0.3989852741
293	0.3989699718
294	0.3989450806
295	0.398924389
296	0.3989139611
297	0.3989036191
298	0.3988974163
299	0.3988970896
300	0.3988837046
301	0.3988685716
302	0.3988478521
303	0.3988344726
304	0.398816077
305	0.3988100595
306	0.3987963485
307	0.3987642168
308	0.3987506764
309	0.3987329028
310	0.3987162102
311	0.3987009587
