iter	Logloss
0	0.6163901579
1	0.565114721
2	0.5299338088
3	0.5128064485
4	0.4989892971
5	0.4888288846
6	0.4811787232
7	0.4774329265
8	0.4724652913
9	0.4680741239
10	0.464750752
11	0.4616684031
12	0.4596211358
13	0.4579303541
14	0.4562636784
15	0.4548752847
16	0.4540023831
17	0.4525806013
18	0.4514648542
19	0.45040218
20	0.4498177495
21	0.449201497
22	0.4487074741
23	0.4481878969
24	0.4476514019
25	0.4469019182
26	0.4466162018
27	0.4459739222
28	0.445142333
29	0.4445735011
30	0.4440802701
31	0.4436273563
32	0.4430115631
33	0.4425216366
34	0.4415688319
35	0.4410890275
36	0.4407708441
37	0.4403309451
38	0.4400762578
39	0.4398819077
40	0.4391666232
41	0.4385651026
42	0.4383611941
43	0.4377821303
44	0.4371596787
45	0.4366436937
46	0.4363689407
47	0.4360979205
48	0.4353457956
49	0.435037104
50	0.4342270589
51	0.433546926
52	0.4333445542
53	0.4325017776
54	0.4320685701
55	0.4317182351
56	0.4311227286
57	0.4308938314
58	0.4305052212
59	0.4302538105
60	0.429722297
61	0.4293572266
62	0.428640045
63	0.428189117
64	0.4276072419
65	0.4271599182
66	0.4266483392
67	0.426218638
68	0.4256243508
69	0.4252399657
70	0.4248351005
71	0.4246459997
72	0.4244131874
73	0.4240589083
74	0.4235814471
75	0.4232308962
76	0.422693806
77	0.4221885926
78	0.421738399
79	0.4213434137
80	0.420874177
81	0.4204675139
82	0.4200019885
83	0.4195387726
84	0.4190638591
85	0.419010813
86	0.4187424657
87	0.4182605257
88	0.4178676123
89	0.4175432574
90	0.4171477828
91	0.4168047833
92	0.4164153527
93	0.4160325715
94	0.415598388
95	0.4149471887
96	0.4145539704
97	0.41425529
98	0.4137539466
99	0.4134058795
100	0.4131382878
101	0.4126398173
102	0.4124642986
103	0.4120988053
104	0.4118182032
105	0.4112355117
106	0.4108433707
107	0.4105024009
108	0.4100524088
109	0.4092774532
110	0.4089197605
111	0.4086374061
112	0.4081169344
113	0.4077718582
114	0.4073912975
115	0.4071017479
116	0.4068051605
117	0.4067093224
118	0.4063438389
119	0.4060489931
120	0.4056893174
121	0.4053552168
122	0.4049947973
123	0.4047916672
124	0.4044802057
125	0.4042116921
126	0.4039072228
127	0.4035830228
128	0.4031929777
129	0.4027165551
130	0.402330052
131	0.4019203964
132	0.4015850427
133	0.4013559618
134	0.4011457577
135	0.4008015027
136	0.4003583196
137	0.4000799685
138	0.39985682
139	0.3996249538
140	0.3993534046
141	0.3990302084
142	0.3989772059
143	0.3987196848
144	0.3985018759
145	0.3982120246
146	0.3979627268
147	0.397705901
148	0.397386688
149	0.3969751707
150	0.396739363
151	0.3964565889
152	0.3961438001
153	0.3961272634
154	0.3958272622
155	0.3954513893
156	0.3951503455
157	0.3949619656
158	0.3948201441
159	0.3945678164
160	0.3941229893
161	0.3938319567
162	0.3936159322
163	0.3933391693
164	0.393061765
165	0.3929718434
166	0.3926923962
167	0.3924143329
168	0.3920393212
169	0.3917148842
170	0.3914444966
171	0.3910387429
172	0.3907001603
173	0.3905680766
174	0.3903290302
175	0.3900604072
176	0.3897496382
177	0.3893239942
178	0.3890667382
179	0.3889072408
180	0.3885949741
181	0.388423053
182	0.3884154486
183	0.3881999805
184	0.387944458
185	0.3874958427
186	0.3872709637
187	0.3870067708
188	0.3867596492
189	0.3864685356
190	0.3862682529
191	0.3861258636
192	0.3861125109
193	0.3857793227
194	0.3854818277
195	0.3850975921
196	0.3848921338
197	0.3846634791
198	0.3842430142
199	0.3840252596
200	0.3837636248
201	0.3835115899
202	0.38323919
203	0.3829965445
204	0.3827488047
205	0.3826269577
206	0.3823134633
207	0.3819094058
208	0.38086862
209	0.3806399283
210	0.3804144171
211	0.3801157178
212	0.3798260202
213	0.3795258925
214	0.379277696
215	0.3790253981
216	0.3787699997
217	0.3783925568
218	0.3779716144
219	0.3777048085
